Capacity,DP Time (ms),Greedy Time (ms),Relative Error,DP Value,Greedy Value
4,0.029000002541579306,0.006400005077011883,0.0,7.0,7
8,0.04329999501351267,0.005399997462518513,0.16666666666666666,12.0,10
12,0.06529998790938407,0.005299996701069176,0.125,16.0,14
16,0.09309999586548656,0.005299996701069176,0.0,18.0,18
