Capacity,DP Time (ms),Greedy Time (ms),Relative Error,DP Value,Greedy Value
4,0.0261999957729131,0.0053000112529844046,0.0,7.0,7
8,0.038300000596791506,0.0029999937396496534,0.16666666666666666,12.0,10
12,0.05529999907594174,0.0025000044843181968,0.125,16.0,14
16,0.07340000593103468,0.0024999899324029684,0.0,18.0,18
