Capacity,DP Time (ms),Greedy Time (ms),Relative Error,DP Value,Greedy Value
4,0.027999994927085936,0.005900001269765198,0.0,7.0,7
8,0.047599998652003706,0.003300010575912893,0.16666666666666666,12.0,10
12,0.06029999349266291,0.003200009814463556,0.125,16.0,14
16,0.07660000119358301,0.002800006768666208,0.0,18.0,18
