Number of Containers,DP Time (ms),Greedy Time (ms),Relative Error,DP Value,Greedy Value
1,0.04090000584255904,0.005800000508315861,0.0,5.0,5
2,0.026900001103058457,0.004899993655271828,0.0,8.0,8
3,0.031199990189634264,0.004599991370923817,0.1111111111111111,9.0,8
4,0.03759999526664615,0.004999994416721165,0.0,12.0,12
5,0.04469999112188816,0.0051000097300857306,0.16666666666666666,12.0,10
